KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K00010,90.00188981,10.54471009,1.445746334,7.293610119,3.02E-13,1.07E-11
K00012,278.9761912,9.365284463,1.642022701,5.703504866,1.17E-08,1.26E-07
K00018,108.9735907,7.876943224,1.543500557,5.103297947,3.34E-07,2.97E-06
K00024,113.7680176,19.79047713,1.798788205,11.00211635,3.73E-28,2.08E-25
K00027,173.3520089,9.846467039,1.445263055,6.812923781,9.56E-12,2.32E-10
K00041,74.27084354,7.611332734,1.482614475,5.133723474,2.84E-07,2.57E-06
K00046,141.9321613,9.801427532,1.542309493,6.355032873,2.08E-10,3.23E-09
K00058,170.1330341,8.708083203,1.537559458,5.663574932,1.48E-08,1.58E-07
K00074,55.51797617,6.73727493,1.574986654,4.277671122,1.89E-05,0.000110735
K00078,56.68948534,9.468793939,1.514147014,6.25354992,4.01E-10,5.76E-09
K00097,90.31343648,5.644697934,1.333621956,4.232607231,2.31E-05,0.000132459
K00099,239.172832,7.147885953,1.427526406,5.007183002,5.52E-07,4.73E-06
K00104,57.05777809,6.260587161,1.694837101,3.693916753,0.000220826,0.000961344
K00239,139.5916961,19.93166254,1.763257768,11.30388471,1.26E-29,1.23E-26
K00240,143.9137797,20.02084733,1.774557169,11.28216531,1.61E-29,1.25E-26
K00241,133.0455283,19.64289776,1.824638371,10.76536484,5.02E-27,1.25E-24
K00248,135.8320579,6.377722619,1.672532666,3.813212591,0.000137172,0.000623263
K00249,166.6942649,7.3920136,1.462621169,5.05394955,4.33E-07,3.77E-06
K00259,71.87623722,7.672435764,1.823532703,4.207457179,2.58E-05,0.000145109
K00262,380.4851022,8.937067222,1.31680926,6.786910978,1.15E-11,2.65E-10
K00278,165.1298057,5.196013477,1.53438652,3.386378471,0.000708216,0.00274636
K00330,115.5189253,19.59041052,1.885420236,10.3904743,2.74E-25,2.74E-23
K00331,102.668821,19.53813876,1.888218611,10.34739232,4.30E-25,4.00E-23
K00334,79.28425131,6.325587936,1.634346617,3.870407826,0.000108653,0.000508743
K00335,74.41090333,4.105948119,1.651588046,2.486060691,0.012916594,0.037981399
K00337,109.637335,19.90220927,1.905989387,10.4419308,1.60E-25,1.78E-23
K00338,84.67505707,19.68428831,1.893046262,10.39820775,2.53E-25,2.67E-23
K00340,108.6984451,19.5392369,1.778593028,10.98578292,4.47E-28,2.18E-25
K00343,108.1063803,19.67104595,1.822577281,10.79298319,3.72E-27,1.04E-24
K00344,65.36461963,10.71430897,1.911392258,5.605499827,2.08E-08,2.17E-07
K00346,83.04381633,4.093524837,1.426234894,2.870161748,0.004102619,0.013599937
K00348,84.54491336,3.749579725,1.374228153,2.728498696,0.006362334,0.020149972
K00349,82.71028091,3.310969006,1.361945086,2.431059107,0.015054758,0.043611893
K00350,82.03580594,4.08140031,1.398688887,2.918018686,0.003522632,0.011797495
K00351,71.45558916,4.503680887,1.407803966,3.199082398,0.001378658,0.004943671
K00548,219.7674352,7.065853137,1.479845326,4.774724097,1.80E-06,1.39E-05
